"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Wrong orientation of leadframe loading
[Method_Z8R00003844]","Procedural controls-Monitoring procedure and guideline_Z8R00000129 and  Z8R00000151

OJTI for Die Attach (Machine setup / conversion) _Z8R00000503",2,Production surveillance 2 leadframes per magazine_Z8R00000129 and Z8R00000151,6,M,17/6/2022 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),17/6/2022 0:00,Closed,Current detection and prevention mechanism is sufficient,P,17/6/2022 0:00,7,2,6,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,34,Z8R00003844_34
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe drop during transferring to indexing track due to vacuum malfunction, weak, leakage or vacuum cup offset
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00005241

ESEC 2100 PM OJTI Z8R00005241

ESEC 2100 setup OJTI Z8R00005324

Equipment Safe Release Z8R00003922",4,"Visual inspection / machine stoppage Z8R00000151

General Alarm 252051477 252051469",2,M,28/3/2024 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),28/3/2024 0:00,Closed,Current detection and prevention mechanism is sufficient,P,28/3/2024 0:00,7,4,2,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,35,Z8R00003844_35
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to determine sensor state will not stop Z-axis movement then resulting to bend or damage leadframe
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00005241

ESEC 2100 PM OJTI Z8R00005241

ESEC 2100 setup OJTI Z8R00005324

Equipment Safe Release Z8R00003922",4,"Visual inspection / machine stoppage Z8R00000151

General Alarm 252051477 252051469",2,M,28/3/2024 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),28/3/2024 0:00,Closed,Current detection and prevention mechanism is sufficient,P,28/3/2024 0:00,7,4,2,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,36,Z8R00003844_36
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Misalignment on Y-axis tend to jam the leadframe on magazine input handler due to worn out belt
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00005241

ESEC 2100 PM OJTI Z8R00005241

ESEC 2100 setup OJTI Z8R00005324

Equipment Safe Release Z8R00003922",4,"Visual inspection / machine stoppage Z8R00000151

General Alarm 203030532 253231138",2,M,28/3/2024 0:00,Current detection and prevention mechanism is sufficient,P,Eric Simangca_Benolirao(benolira),28/3/2024 0:00,Closed,Current detection and prevention mechanism is sufficient,P,28/3/2024 0:00,7,4,2,M,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,37,Z8R00003844_37
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Mis alignment on Z axis tend to jam the leadframe on input handler due to worn out belt.
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",3,"Visual inspection / machine stoppage Z8R00000151

General Alarm 44701 44752 44753 44780 844701",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,38,Z8R00003844_38
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Collision of leadframe on magazine due to wear and tear of transport roller
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",3,"Visual inspection / machine stoppage Z8R00000151

General Alarm 49302 49304 49305 49354 49399",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,39,Z8R00003844_39
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe collision resulting to damage leadframe due to faulty linear scale
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",2,"Visual inspection / machine stoppage Z8R00000151

General Alarm 47753",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,40,Z8R00003844_40
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Leadframe drop during transferring to indexing track due to vacuum malfunction, weak, leakage or vacuum cup offset
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",3,"Visual inspection / machine stoppage Z8R00000151

General Alarm 44260 44302 44399",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,41,Z8R00003844_41
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Mis alignment on Y axis tend to jam the leadframe on input handler due to worn out belt.
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R00000770

Process Point Check _Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",2,"General Alarm 44701 44752 44753 44780 844701

Production surveillance 2 leadframes per magazine_Z8R00000151",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,42,Z8R00003844_42
"Function for Effects
[Z8R00003844]",,Input,,,,"Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indexer. Leadframe top up not allowed  only one time loading in a black casing. _Z8R00000129 and  Z8R00000151
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Machine_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Method_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 , Z8R00000151 and Z8R00005049
[Material_Z8R00003844]
Storage of the leadframe where the input picker assembly pick the leadframe one by one to  load into the indxer._Z8R00000129 and  Z8R00000151
[Method_Z8R00003844]",,"IFX: Yield loss
[Z8R00003844]",,,Damaged Frame,"Unable to determine sensor state will throw too much leadframe on the bin resulting to bend or damage leadframe if continue run due to exceededed lifespan
[Machine_Z8R00003844]","Half Yearly PM:Parts checking during PM and/or setup Z8R00000625

ESEC 2008 PM OJTI Z8R00000625

ESEC 2008 setup OJTI Z8R0000770

Process Point Check Z8R00002121

Equipment Safe Release Z8R00003922

Procedure and Policy for On-The-Job Training and Certification in PT Infineon Technologies. Z8R00000045",3,"General Alarm 44337 ,  44338

Visual inspection / machine stoppage_Z8R00000151",2,L,,,,,,,,,,,,,,Process FMEA for Die Attach,Z8R00003844,Process,"DSO150, DSO300, DSO430 , LDSO300",Manufacturing-Batam,,43,Z8R00003844_43
